index,x_m,y_m,yaw,direction,drive_level
243,-8.581763,-40.088941,-2.924951564,1,1.0
244,-8.832690,-40.144169,-2.869963467,1,1.0
245,-9.075677,-40.211844,-2.832275890,1,1.0
246,-9.295083,-40.281960,-2.869963467,1,1.0
247,-9.538070,-40.349635,-2.982471251,1,1.0
248,-9.757731,-40.384886,-3.018390447,1,1.0
249,-9.961764,-40.410151,-3.072627737,1,1.0
250,-10.133577,-40.422019,3.126289631,1,1.0
251,-10.326044,-40.419074,3.020520564,1,1.0
252,-10.683982,-40.375524,3.020520564,1,1.0
