x,y,yaw,dir
4.8787,5.5320,1.5788,1
4.8775,5.6776,1.5788,1
4.8767,5.7820,1.5788,1
4.8755,5.9219,1.5788,1
4.8747,6.0315,1.5788,1
4.8735,6.1719,1.5788,1
4.8727,6.2819,1.5788,1
4.8715,6.4219,1.5788,1
4.8707,6.5239,1.5788,1
4.8695,6.6793,1.5788,1
4.8683,6.8319,1.5788,1
4.8671,6.9819,1.5788,1
4.8659,7.1219,1.5788,1
4.8651,7.2319,1.5788,1
4.8639,7.3719,1.5788,1
4.8631,7.4817,1.5788,1
4.8619,7.6319,1.5788,1
4.8607,7.7719,1.5788,1
4.8595,7.9219,1.5788,1
4.8583,8.0819,1.5788,1
4.8575,8.1919,1.5788,1
4.8563,8.3319,1.5788,1
4.8551,8.4919,1.5788,1
4.8539,8.6319,1.5788,1
4.8527,8.7719,1.5788,1
4.8519,8.8819,1.5788,1
4.8507,9.0318,1.5788,1
4.8495,9.1793,1.5788,1
4.8483,9.3318,1.5788,1
4.8471,9.4718,1.5788,1
4.8463,9.5818,1.5788,1
4.8451,9.7318,1.5788,1
4.8439,9.8818,1.5788,1
4.8427,10.0318,1.5788,1
4.8415,10.1718,1.5788,1
4.8403,10.3318,1.5788,1
4.8391,10.4818,1.5788,1
4.8379,10.6274,1.5788,1
4.8371,10.7318,1.5788,1
4.8359,10.8818,1.5788,1
4.8347,11.0218,1.5788,1
4.8335,11.1718,1.5788,1
4.8327,11.2804,1.5788,1
4.8315,11.4186,1.5788,1
4.8307,11.5218,1.5788,1
4.8295,11.6643,1.5788,1
4.8287,11.7718,1.5788,1
4.8275,11.9218,1.5788,1
4.8263,12.0718,1.5788,1
4.8255,12.1817,1.5788,1
4.8243,12.3217,1.5788,1
4.8231,12.4717,1.5788,1
4.8219,12.6217,1.5788,1
4.8207,12.7717,1.5788,1
4.8195,12.9217,1.5788,1
4.8183,13.0717,1.5788,1
4.8171,13.2217,1.5788,1
4.8159,13.3717,1.5788,1
4.8147,13.5217,1.5788,1
