segment_id,segment_type,point_index,latitude,longitude,x_m,y_m,direction,mode,drive_level,event,from_node,to_node
T_A,mission_T,23,37.2881234201,127.1068395682,-38.911373,-54.898341,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,24,37.2881247469,127.1068401573,-38.859199,-54.750641,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,25,37.2881262469,127.1068406573,-38.814917,-54.583661,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,26,37.2881279566,127.1068411677,-38.769713,-54.393338,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,27,37.2881295286,127.1068418076,-38.713040,-54.218343,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,28,37.2881314136,127.1068428239,-38.623032,-54.008504,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,29,37.2881329110,127.1068435675,-38.557175,-53.841814,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,30,37.2881346340,127.1068443669,-38.486376,-53.650009,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,31,37.2881362211,127.1068451573,-38.416374,-53.473334,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,32,37.2881378380,127.1068460794,-38.334708,-53.293340,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,33,37.2881392903,127.1068468885,-38.263041,-53.131670,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,34,37.2881408174,127.1068478294,-38.179710,-52.961673,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,35,37.2881423745,127.1068487327,-38.099709,-52.788337,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,36,37.2881440513,127.1068497489,-38.009710,-52.601676,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,37,37.2881453239,127.1068505205,-37.941373,-52.460010,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,38,37.2881467612,127.1068515367,-37.851373,-52.300010,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,39,37.2881483932,127.1068525152,-37.764712,-52.118335,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,40,37.2881497735,127.1068534573,-37.681278,-51.964680,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,41,37.2881512856,127.1068545299,-37.586278,-51.796347,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,42,37.2881525990,127.1068554043,-37.508839,-51.650146,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,43,37.2881541723,127.1068564671,-37.414712,-51.475006,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,44,37.2881559119,127.1068574280,-37.329611,-51.281347,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,45,37.2881576249,127.1068585688,-37.228574,-51.090662,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,46,37.2881590418,127.1068596870,-37.129541,-50.932933,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,47,37.2881604750,127.1068610951,-37.004832,-50.773389,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,48,37.2881616612,127.1068624825,-36.881957,-50.641342,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,49,37.2881628474,127.1068640149,-36.746240,-50.509294,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,50,37.2881640500,127.1068659199,-36.577524,-50.375420,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,51,37.2881648573,127.1068674522,-36.441807,-50.285552,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,52,37.2881656151,127.1068690052,-36.304265,-50.201193,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,53,37.2881664343,127.1068706938,-36.154714,-50.110000,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,54,37.2881674074,127.1068723311,-36.009706,-50.001675,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,55,37.2881682908,127.1068741565,-35.848040,-49.903335,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,56,37.2881694136,127.1068768237,-35.611819,-49.778344,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
